"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"IDA only","IDX","1998","","","","137.955394102874","6.43809007399689","31.5497147190139","20.3439736518623","21.958424605079","226670002.775267","1544099992.07407","1486360011.6577","25229999.9333918","692199998.6507","27889999.7342378","364340002.793819","","83799999.4941056","","","295680000.93475","192389999.549836","10661490010.066","787379996.785895","935250002.430752","","","","20907439959.5261","15019699933.5289","20907439959.5261","15019699933.5289","","","77919999.981299","","","314300001.112744","88340000.0352412","116649998.694658","155639999.985695","","69150000.0599772","159769999.369979","","","3.01718524048724","48.3089485168457","0.81306","","79.6899894919892"
"IDA only","IDX","2013","","","463","74.6828784770025","5.76610253736711","20.9795804765599","14.5257133449971","58.470123131801","523580000.389367","4545219984.33769","5639900083.30346","152889999.790117","773979999.022558","116470002.107322","1160279999.43681","10590000.0184774","94509999.351576","4130000.08650124","2030000.02168119","1145149998.63505","745559996.720403","38677150000.2537","3955549990.7434","10401249932.7753","","","","53675749879.8371","56773710212.7076","53675749879.8371","56773710212.7076","24075211.9168174","13380000.0119954","301949999.500066","22078595.8589986","31328551.3073206","262189652.787522","153625894.427299","111915985.503234","497967409.908772","38349832.9445719","","239842491.643503","76359742.5097832","","2.30855952351074","70.4896926879883","0.929","","73.6494920675128"
"India","IND","2005","1092030000","279","286","74.5","0.230325295198291","0.600563182909934","0.966221326065448","1.63466690354056","689999.997615814","187800003.051758","71459999.0844727","2329999.92370605","72809997.5585938","1700000.04768372","28690000.5340576","159999.996423721","389999.985694885","529999.971389771","","16459999.0844727","24629999.1607666","1051559990.74318","579239990.234375","57130001.0681152","","","","2017640014.64844","1875959960.9375","2017640014.64844","1875959960.9375","","","7519999.98092651","","1500000","15390000.3433228","13069999.6948242","790000.021457672","34669998.1689453","","12590000.1525879","9670000.07629395","","","","","","352370000","82.9699993133545"
"Iran, Islamic Rep.","IRN","1968","5090000","","","","0.101037027382625","0.234724891562469","","0.309996358262007","109999.999403954","","349999.994039536","","","","209999.993443489","","","","","119999.997317791","90000.0035762787","4159999.94613231","2819999.9332428","-9119999.88555908","","","","72550003.0517578","8380000.11444092","72550003.0517578","8380000.11444092","","","","","","4219999.79019165","","","","","","","","","","","","6190000",""
"Iraq","IRQ","1992","84680000","","","51.4","25.2228922735232","78.4580068056377","","7.50431762354497","180000.007152557","550000.011920929","150000.005960464","310000.002384186","18690000.5340576","","3220000.02861023","","","","","12659999.8474121","1659999.9666214","66500000.4693865","4079999.92370605","","-154026","","","188199996.948242","138100006.103516","188199996.948242","138100006.103516","","","","","","469999.998807907","","15840000.1525879","28010000.2288818","","990000.009536743","26159999.8474121","","","","","","53480000","30.8299994468689"
"Israel","ISR","2013","","4.6","4","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.85440826416","1.01078999042511","","7.7799998819828"
"Jamaica","JAM","2003","30210000","5.5","79","20.5","0.118940432015168","0.426226031173309","0.184977827405715","3.8937964960759","2140000.10490417","1539999.96185303","-11409999.8474121","","-2279999.97138977","50000.0007450581","500000","","","","","349999.994039536","","2670000.33520162","8489999.77111816","1179999.94754791","","","","16940000.5340576","10550000.1907349","16940000.5340576","10550000.1907349","","","-70000.0002980232","","","469999.998807907","59999.9986588955","","680000.007152557","","1470000.02861023","","","","1.5","","1.01672005653381","37820000","35.8799992799758"
"Cambodia","KHM","1997","171200000","","","119.6","9.53953942815043","62.778185096015","24.776803678522","28.7380900851054","2900000.09536743","32930000.3051758","61630001.0681152","159999.996423721","11520000.4577637","1299999.95231628","8819999.69482422","","","","","22979999.5422363","1460000.03814697","263100002.255291","7369999.88555908","30000000","348495","","","436779998.779297","324700012.207031","436779998.779297","324700012.207031","","","100000.001490116","","","17540000.9155273","3920000.07629395","409999.996423721","3910000.08583069","","2950000.04768372","2150000.09536743","","","1","17.1940803527832","","122870000","89.8999977111816"
"Kiribati","KIR","2013","47630000","472","104","60.5","21.3437329894108","110.460174899564","36.362578495296","602.389517400331","","3519999.98092651","12909999.8474121","","","6760000.22888184","","","","","","","","52769999.2936104","19999.9995529652","","","","","57400001.5258789","64989997.8637695","57400001.5258789","64989997.8637695","127211.704850197","","","231896.713376045","","21180.0001561642","","","","","","","442473.918199539","","","","","15340000",""
"Kuwait","KWT","1987","0","","","20.5","0.0121293231250717","0.0863937151251193","0.0354605272797649","1.7483996753362","","","479999.989271164","","","","","","","","","","","2119999.97496605","","","119768","","","5539999.96185303","3390000.10490417","5539999.96185303","3390000.10490417","","","","","","1139999.98569489","","","","","129999.995231628","","","","","97.2158126831055","0.921739995479584","4000000",""
